NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
A874518                  Bird      Waxwing                            Unknown             1.00      2.00      
Torby Girl               Cat       Domestic Shorthair                 Spayed Female       14.00     15.00     
*Butters                 Cat       Domestic Shorthair                 Neutered Male       4.00      5.00      
Katniss Everbean Horton  Cat       Domestic Shorthair                 Spayed Female       0.00      1.00      
A890645                  Cat       Siamese Mix                        Spayed Female       0.00      1.00      
A900468                  Cat       Domestic Shorthair                 Unknown             0.00      0.00      
A900469                  Cat       Domestic Shorthair                 Unknown             0.00      0.00      
*Raja                    Cat       Domestic Shorthair Mix             Intact Female       0.00      0.00      
A904825                  Cat       Domestic Shorthair Mix             Intact Female       0.00      0.00      
Shalimar                 Dog       Pekingese                          Unknown             1.00      2.00      
Zeus                     Dog       Doberman Pinsch Mix                Intact Male         2.00      3.00      
Fb Mcgee                 Dog       Mastiff Mix                        Neutered Male       2.00      3.00      
A894378                  Dog       Cairn Terrier/Chihuahua Shorthair  Spayed Female       2.00      3.00      
*Snow                    Dog       Great Pyrenees                     Neutered Male       1.00      1.00      
A903014                  Dog       American Bulldog Mix               Unknown             5.00      5.00      
Perla                    Dog       Siberian Husky                     Intact Female       2.00      2.00      
A896559                  Other     Coyote                             Unknown             2.00      2.00      



NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
Lucky                    Dog       Labrador Retriever Mix             Intact Male         0.00      1.00      
Lucky                    Dog       Labrador Retriever Mix             Neutered Male       0.00      1.00      
Lucky                    Dog       Labrador Retriever Mix             Spayed Female       0.00      1.00      
Lucky                    Dog       Pit Bull Mix                       Intact Male         2.00      3.00      
Lucky                    Dog       Australian Shepherd/German ShepherdSpayed Female       2.00      3.00      
Lucky                    Dog       Pug                                Neutered Male       2.00      3.00      
Lucky                    Dog       German Shepherd Mix                Intact Male         2.00      3.00      
Lucky                    Dog       Pit Bull Mix                       Intact Female       2.00      3.00      
Lucky                    Dog       Pit Bull                           Neutered Male       2.00      2.00      
Lucky                    Dog       Pit Bull                           Spayed Female       2.00      2.00      
Lucky                    Dog       Pit Bull/Labrador Retriever        Spayed Female       3.00      3.00      
Lucky                    Dog       Basset Hound                       Neutered Male       4.00      5.00      
Lucky                    Dog       Pomeranian                         Intact Female       5.00      6.00      
Lucky                    Dog       Pit Bull Mix                       Intact Male         9.00      10.00     
Lucky                    Dog       Chihuahua Shorthair/Beagle         Neutered Male       11.00     12.00     



NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
A870466                  Bird      Cockatiel                          Unknown             3.00      4.00      
*Dreidel                 Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Fir                     Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
